city,country,lat,lon,month,temperature,humidity,pressure,dew_point,absolute_humidity,water_output_liters_per_day
Lahore,PK,31.5497,74.3436,6,40.74,25.52,967.09,17.13,13.5565,65.0711
Johannesburg,ZA,-26.2041,28.0473,6,13.87,44.39,829.37,1.95,5.3108,25.4918
Mexico City,MX,19.4326,-99.1332,5,19.4,50.44,771.86,8.84,8.4148,42.0068
Sydney,AU,-33.8688,151.2093,2,23.03,65.4,1008.57,16.18,13.4668,69.1193
London,GB,51.5074,-0.1278,1,7.13,86.14,1011.76,4.97,6.7291,33.5918
Berlin,DE,52.52,13.405,5,19.12,70.17,1011.66,13.55,11.5134,57.475
Tokyo,JP,35.6762,139.6503,10,18.54,80.67,1014.69,15.15,12.7913,57.1443
Karachi,PK,24.8607,67.0011,4,26.82,67.94,1010.45,20.39,17.3228,88.9101
Istanbul,TR,41.0082,28.9784,1,6.83,84.03,1014.02,4.32,6.4389,32.1429
Colombo,LK,6.9271,79.8612,7,30.07,87.51,1008.8,27.76,26.6614,122.8559
Melbourne,AU,-37.8136,144.9631,7,10.63,75.66,1018.18,6.51,7.3951,34.0767
Tokyo,JP,35.6762,139.6503,12,8.8,39.65,1020.9,-4.17,3.4513,16.5662
Mumbai,IN,19.076,72.8777,12,29.69,70.7,1014.08,23.78,21.0993,101.2768
São Paulo,BR,-23.5505,-46.6333,11,24.82,75.92,924.98,20.27,17.3042,79.7377
Mumbai,IN,19.076,72.8777,9,32.07,80.37,1009.58,28.25,27.2752,120.4473
Colombo,LK,6.9271,79.8612,9,28.01,78.94,1005.51,24.0,21.4928,94.9121
Bangalore,IN,12.9716,77.5946,8,21.9,78.67,910.47,18.02,15.1772,67.8032
Jakarta,ID,-6.2088,106.8456,4,28.89,79.32,1011.83,24.93,22.6588,116.2973
Anchorage,US,61.2181,-149.9003,2,-2.81,74.78,1007.32,-6.65,2.981,15.3001
Bangkok,TH,13.7563,100.5018,6,28.09,75.74,1001.0,23.4,20.7169,99.4412
Singapore,SG,1.3521,103.8198,6,27.64,90.29,1009.57,25.9,24.0832,115.5994
Hyderabad,IN,17.385,78.4867,5,28.64,32.96,941.9,10.74,9.2865,46.3582
Rio de Janeiro,BR,-22.9068,-43.1729,6,23.53,80.01,1014.76,19.88,16.9525,81.3719
Johannesburg,ZA,-26.2041,28.0473,7,9.04,41.36,834.93,-3.4,3.6534,16.8351
Amman,JO,31.9454,35.9284,11,15.4,46.81,922.17,4.08,6.1467,28.3238
Jaipur,IN,26.9124,75.7873,6,37.76,29.46,936.72,16.88,13.4601,64.6086
Mexico City,MX,19.4326,-99.1332,10,16.45,66.42,773.09,10.17,9.2972,41.5346
Johannesburg,ZA,-26.2041,28.0473,11,23.92,60.76,825.92,15.87,13.1613,60.6474
Miami,US,25.7617,-80.1918,8,27.33,71.5,1010.7,21.71,18.7541,83.783
